# UDDS profile from SLIDE https://github.com/davidhowey/SLIDE/blob/master/Current%20Profile%20drive%20cycle%20UDDS.csv	
# with a maximum current of 0.81A	
# Time [s]	 Current [A]
1080	0.2383
1081	0.23887
1082	0.17567
1083	0.05699
1084	0.012297
1085	0.017032
1086	0.010805
1087	0.0052427
1088	0.0049051
1089	-0.011819
1090	-0.031949
1091	-0.032626
1092	0.00015535
1093	-0.011819
1094	0.013224
1095	0.027642
1096	0.05346
1097	0.010933
1098	0.02177
1099	0.0101
1100	-0.00098498
1101	-0.0030963
1102	-0.0049998
1103	-0.013434
1104	-0.04762
1105	-0.1456
1106	-0.21961
1107	-0.26914
1108	-0.15118
1109	-0.083995
1110	-0.20712
1111	-0.31025
1112	-0.31752
1113	-0.20008
1114	-0.076289
1115	-0.060529
1116	-0.060836
1117	-0.094583
1118	-0.18207
1119	-0.13514
1120	-0.19315
1121	-0.18103
1122	-0.1477
1123	-0.033911
1124	-0.033737
1125	-0.091235
1126	-0.13119
1127	-0.13343
1128	-0.095308
1129	-0.13681
1130	-0.097781
1131	-0.11938
1132	-0.078941
1133	-0.058362
1134	-0.058362
1135	-0.03752
1136	-0.037333
1137	-0.057836
1138	0.0018271
1139	-0.036594
1140	0.015843
1141	0.029373
1142	0.081994
1143	0.1045
1144	0.20566
1145	0.13474
1146	0.22157
1147	0.10891
1148	0.13734
1149	0.19818
1150	0.14462
1151	0.090875
1152	0.037002
1153	-0.0018215
1154	-0.0030392
1155	-0.0030392
1156	-0.0030392
1157	-0.0030392
1158	-0.0030392
1159	-0.0030392
1160	-0.0030392
1161	-0.0030392
1162	-0.0030392
1163	-0.0030392
1164	-0.0030392
1165	-0.0030392
1166	-0.0030392
1167	-0.0030392
1168	-0.0030392
1169	-0.0204
1170	-0.10486
1171	-0.19453
1172	-0.28436
1173	-0.37443
1174	-0.46483
1175	-0.42253
1176	-0.3681
1177	-0.13826
1178	0.027032
1179	0.026533
1180	0.25088
1181	0.2949
1182	0.24183
1183	0.18846
1184	0.13486
1185	0.081087
1186	0.027199
1187	-0.0030607
1188	-0.0030392
1189	-0.0030392
1190	-0.0030392
1191	-0.0030392
1192	-0.0030392
1193	-0.0030392
1194	-0.0030392
1195	-0.0030392
1196	-0.0030392
1197	-0.0032304
1198	-0.013034
1199	-0.045905
1200	-0.12727
1201	-0.22445
1202	-0.20712
1203	-0.11183
1204	-0.036591
1205	0.0080774
1206	-0.045677
1207	-0.056509
1208	-0.026925
1209	-0.12159
1210	-0.20035
1211	-0.2207
1212	-0.25551
1213	-0.20142
1214	-0.24552
1215	-0.12587
1216	-0.095046
1217	-0.045468
1218	0.0023867
1219	0.0023891
1220	-0.09366
1221	-0.095046
1222	-0.07937
1223	-0.028946
1224	-0.011953
1225	-0.011795
1226	-0.044771
1227	-0.028167
1228	0.11268
1229	0.033928
1230	0.0023247
1231	-0.099678
1232	-0.070976
1233	-0.071729
1234	0.023346
1235	0.16945
1236	0.15115
1237	0.1683
1238	0.16606
1239	0.081581
1240	0.062847
1241	0.044062
1242	0.018947
1243	0.010343
1244	-0.00216
1245	-0.0030392
1246	-0.0030392
1247	-0.0030392
1248	-0.0030392
1249	-0.0030392
1250	-0.0030392
1251	-0.0030392
1252	-0.0070736
1253	-0.0047935
1254	-0.0047935
1255	-0.0047935
1256	-0.0047935
1257	-0.011322
1258	-0.031856
1259	-0.036126
1260	-0.045592
1261	-0.069531
1262	-0.10924
1263	-0.15758
1264	-0.060872
1265	0.037739
1266	0.033712
1267	0.025589
1268	-0.093339
1269	-0.18833
1270	-0.31416
1271	-0.3893
1272	-0.3883
1273	-0.27543
1274	-0.17614
1275	-0.11358
1276	-0.18632
1277	-0.15648
1278	-0.14202
1279	-0.12617
1280	-0.051963
1281	0.027999
1282	0.02752
1283	-0.049509
1284	-0.049509
1285	-0.049509
1286	-0.049509
1287	-0.049509
1288	-0.14139
1289	-0.069336
