Time [s],Current [A],Terminal voltage [V],Loss of charge to sei [Ah]
13980.0,-1.5010066305589308e-05,3.9,0.0003734316594341221
14040.0,-1.5006055403997255e-05,3.9,0.00037498286278630984
14100.0,-1.5002045630510067e-05,3.9,0.0003765337297243806
14160.0,-1.4998037780626436e-05,3.9,0.0003780842834578676
14220.000000000002,-1.4994035525524069e-05,3.9,0.0003796342826591527
14280.0,-1.4990040179523983e-05,3.9,0.00038118347151792616
14340.0,-1.498604517704629e-05,3.9,0.00038273262002837526
14400.0,-1.4982051302922666e-05,3.9,0.0003842814334594394
14460.000000000002,-1.4978059337023445e-05,3.9,0.0003858299349281003
14520.0,-1.4974072959838404e-05,3.9,0.0003873778840626196
14580.0,-1.4970093440935095e-05,3.9,0.00038892502606339746
14640.0,-1.4966114262853736e-05,3.9,0.00039047212787561797
14700.000000000002,-1.496213618810827e-05,3.9,0.0003920188959343755
14760.000000000002,-1.4958160046164186e-05,3.9,0.00039356535326472587
14820.0,-1.4954189387950043e-05,3.9,0.00039511126044451813
14880.0,-1.4950225606773395e-05,3.9,0.0003966563636782124
14940.0,-1.4946262167541866e-05,3.9,0.00039820142688207086
15000.000000000002,-1.4942299840583365e-05,3.9,0.00039974615764966126
15060.0,-1.493833933994416e-05,3.9,0.0004012905789147262
15120.0,-1.4934384388824229e-05,3.9,0.00040283445219847097
15180.0,-1.493043622135712e-05,3.9,0.0004043775247028394
15240.000000000002,-1.4926488391112666e-05,3.9,0.0004059205573350461
15300.000000000002,-1.4922541687041671e-05,3.9,0.0004074632588395433
15360.0,-1.4918596804127871e-05,3.9,0.0004090056520593566
15420.0,-1.4914657385545261e-05,3.9,0.00041054749945286463
15480.0,-1.491072476418976e-05,3.9,0.0004120885492129931
15540.000000000002,-1.4906792480776434e-05,3.9,0.000413629559257597
15600.0,-1.4902861276517825e-05,3.9,0.0004151702394744901
15660.0,-1.489893188574497e-05,3.9,0.00041671061261657497
15720.0,-1.4895007935563994e-05,3.9,0.0004182504420732872
15780.000000000002,-1.4891090749138065e-05,3.9,0.0004197894770220615
15840.000000000002,-1.4887173899005727e-05,3.9,0.0004213284724109312
15900.0,-1.4883258087893213e-05,3.9,0.00042286713926360564
15960.0,-1.4879344085403295e-05,3.9,0.0004244055002434539
16020.0,-1.4875435521259492e-05,3.9,0.0004259433196649041
16080.000000000002,-1.4871533660164467e-05,3.9,0.0004274803476835019
16140.0,-1.486763213230257e-05,3.9,0.0004290173362968038
16200.0,-1.4863731652319554e-05,3.9,0.00043055399765701795
16260.0,-1.4859832917875715e-05,3.9,0.00043209035433856884
16320.000000000002,-1.4855939655346121e-05,3.9,0.0004336261715748592
16380.0,-1.485205302292267e-05,3.9,0.00043516120049321853
16440.0,-1.4848166720034694e-05,3.9,0.00043669619015988185
16500.0,-1.4844281449963904e-05,3.9,0.0004382308538482346
16560.0,-1.4840397933572146e-05,3.9,0.000439765214044337
16620.0,-1.4836519826335372e-05,3.9,0.0004412990368946227
16680.0,-1.4832648318713137e-05,3.9,0.0004428320744918961
16740.0,-1.48287771391276e-05,3.9,0.00044436507299007905
16800.0,-1.4824906965083103e-05,3.9,0.0004458977467764809
16860.0,-1.4821038575530786e-05,3.9,0.00044743011824936437
16920.0,-1.4817175519557451e-05,3.9,0.0004489619544622821
16980.0,-1.4813319058778372e-05,3.9,0.00045049300846731105
17040.0,-1.4809462925849916e-05,3.9,0.00045202402352487186
17100.0,-1.4805607766534612e-05,3.9,0.00045355471512898907
17160.0,-1.480175436610894e-05,3.9,0.0004550851055907156
17220.0,-1.4797906304590223e-05,3.9,0.0004566149628648679
17280.000000000004,-1.4794064766491746e-05,3.9,0.00045814404095662737
17340.0,-1.4790223552600702e-05,3.9,0.00045967308025156013
17400.0,-1.4786383342114983e-05,3.9,0.0004612017973432895
17460.0,-1.4782544835672579e-05,3.9,0.0004627302144562098
17520.0,-1.4778711631382587e-05,3.9,0.0004642581004406143
17580.0,-1.4774884943945718e-05,3.9,0.0004657852102486594
17640.0,-1.4771058580493178e-05,3.9,0.0004673122814095552
17700.0,-1.4767233195643237e-05,3.9,0.0004688390316094526
17760.000000000004,-1.4763409517336787e-05,3.9,0.0004703654829866505
17820.0,-1.4759591089809749e-05,3.9,0.00047189140528117076
17880.0,-1.4755779148839704e-05,3.9,0.00047341655438609557
17940.0,-1.4751967530436502e-05,3.9,0.00047494166499258475
18000.0,-1.4748156849291911e-05,3.9,0.00047646645587232154
18060.000000000004,-1.4744347901350926e-05,3.9,0.00047799094907805705
18120.0,-1.4740544149854009e-05,3.9,0.00047951491523386033
18180.0,-1.4736746863665903e-05,3.9,0.00048103811116772166
18240.0,-1.4732949898969855e-05,3.9,0.0004825612687509068
18300.0,-1.4729153860389892e-05,3.9,0.00048408410783369593
18360.000000000004,-1.4725359495534336e-05,3.9,0.0004856066503838496
18420.0,-1.4721570366186847e-05,3.9,0.0004871286679038257
18480.0,-1.4717787632673068e-05,3.9,0.0004886499181505862
18540.000000000004,-1.4714005217039313e-05,3.9,0.0004901711301934878
18600.0,-1.4710223734698851e-05,3.9,0.0004916920249545307
18660.0,-1.4706443914539123e-05,3.9,0.0004932126243170261
18720.0,-1.4702669275919362e-05,3.9,0.0004947327006562328
18780.0,-1.4698901005670679e-05,3.9,0.0004962520126521759
18840.000000000004,-1.4695133051981305e-05,3.9,0.0004977712865901515
18900.0,-1.4691366001746362e-05,3.9,0.000499290244457053
18960.0,-1.4687600614512633e-05,3.9,0.0005008089080522838
19020.0,-1.4683840394834067e-05,3.9,0.0005023270506183657
19080.0,-1.4680086497220267e-05,3.9,0.0005038444317525455
19140.000000000004,-1.4676332913859532e-05,3.9,0.000505361774973715
19200.0,-1.4672580240096908e-05,3.9,0.0005068788033269145
19260.0,-1.4668829170064184e-05,3.9,0.0005083955385281724
19320.0,-1.4665083276978454e-05,3.9,0.0005099117546817884
19380.0,-1.4661343655069622e-05,3.9,0.0005114272122964158
19440.000000000004,-1.4657604344860218e-05,3.9,0.0005129426321420838
19500.0,-1.4653865943062095e-05,3.9,0.0005144577383152727
19560.0,-1.4650129150007787e-05,3.9,0.000515972552449169
19620.000000000004,-1.4646397480352721e-05,3.9,0.0005174868495043962
19680.0,-1.4642672052117354e-05,3.9,0.0005190003908952892
19740.0,-1.4638946934173189e-05,3.9,0.0005205138946603459
19800.0,-1.4635222685119694e-05,3.9,0.0005220270859408781
19860.0,-1.4631500043269979e-05,3.9,0.0005235399862877453
19920.000000000004,-1.4627782518369652e-05,3.9,0.0005250523715124995
19980.0,-1.4624071203913863e-05,3.9,0.0005265640039294634
20040.0,-1.4620360198049726e-05,3.9,0.0005280755988628221
20100.0,-1.4616650010052126e-05,3.9,0.0005295868824921207
20160.0,-1.461294146248148e-05,3.9,0.0005310978762864269
20220.000000000004,-1.4609237967332106e-05,3.9,0.0005326083569028688
20280.0,-1.4605540661716457e-05,3.9,0.000534118087550111
20340.0,-1.460184366385891e-05,3.9,0.0005356277808550892
20400.000000000004,-1.4598147497934512e-05,3.9,0.0005371371640290566
20460.0,-1.4594452914630308e-05,3.9,0.0005386462584598089
20520.0,-1.4590763403717158e-05,3.9,0.0005401548416447452
20580.0,-1.4587080020465836e-05,3.9,0.0005416626776812839
20640.0,-1.4583396941815916e-05,3.9,0.0005431704765160061
20700.000000000004,-1.4579714672925446e-05,3.9,0.0005446779663854273
20760.0,-1.4576033986811401e-05,3.9,0.0005461851685965661
20820.0,-1.4572358337695774e-05,3.9,0.0005476918614818472
20880.0,-1.4568688800368949e-05,3.9,0.0005491978100218927
20940.0,-1.4565019566814215e-05,3.9,0.0005507037214996976
21000.000000000004,-1.4561351130298214e-05,3.9,0.0005522093251706164
21060.0,-1.4557684256421623e-05,3.9,0.0005537146422614212
21120.0,-1.4554022387429062e-05,3.9,0.0005552194519343399
21180.0,-1.455036659868929e-05,3.9,0.0005567235200476973
21240.0,-1.4546711112151344e-05,3.9,0.0005582275512375137
21300.000000000004,-1.4543056413764107e-05,3.9,0.0005597312757716526
21360.0,-1.4539403273441473e-05,3.9,0.0005612347147971122
21420.0,-1.4535755097028679e-05,3.9,0.0005627376483007819
21480.000000000004,-1.4532112972997462e-05,3.9,0.0005642398430132364
21540.0,-1.4528471149848332e-05,3.9,0.0005657420009399887
21600.0,-1.452483010757136e-05,3.9,0.000567243853355105
21660.0,-1.452119059512137e-05,3.9,0.0005687454213263337
21720.0,-1.4517556032079187e-05,3.9,0.0005702464856600773
21780.000000000004,-1.4513927493007713e-05,3.9,0.0005717468139537692
21840.0,-1.4510299253420634e-05,3.9,0.0005732471055987456
21900.0,-1.4506671768031484e-05,3.9,0.0005747470928690377
21960.0,-1.4503045797228551e-05,3.9,0.0005762467967536174
22020.0,-1.4499424787465704e-05,3.9,0.0005777459988733508
22080.000000000004,-1.4495809743117704e-05,3.9,0.0005792444676871677
22140.0,-1.4492194995122557e-05,3.9,0.0005807428999884068
22200.0,-1.4488581018003077e-05,3.9,0.0005822410290448747
22260.000000000004,-1.4484968507725408e-05,3.9,0.0005837388757672625
22320.0,-1.4481360948889536e-05,3.9,0.0005852362225858698
22380.0,-1.4477759309418105e-05,3.9,0.000586732838815809
22440.0,-1.447415796412372e-05,3.9,0.000588229418668461
22500.0,-1.447055737483053e-05,3.9,0.0005897256963992906
22560.000000000004,-1.4466958267368957e-05,3.9,0.0005912216928411844
22620.0,-1.4463364035554895e-05,3.9,0.0005927171912288818
22680.0,-1.4459775741862228e-05,3.9,0.0005942119617284272
22740.0,-1.4456187743305562e-05,3.9,0.0005957066959851447
22800.0,-1.4452600483097704e-05,3.9,0.0005972011292360685
22860.000000000004,-1.4449014664595534e-05,3.9,0.000598695282236778
